Phone Number,Response ,Sectors
9446727482,Yes,Sector 3
9495826711,Yes,Sector 2
7412556547,No,Sector 1
8451236454,Yes,Sector 3
9752365474,No,Sector 1
9542156875,Yes,Sector 3
7245172855,No,Sector 1
6165654655,Yes,Sector 2
7458544562,Yes,Sector 1
7752452255,Yes,Sector 2
8527419655,Yes,Sector 3
8741852685,No,Sector 1
9685274184,Yes,Sector 3
4995525522,Yes,Sector 1
5285625552,Yes,Sector 2
8955258585,Yes,Sector 1
5266649565,Yes,Sector 1
9638527415,Yes,Sector 3
8527419635,Yes,Sector 2
9874561235,Yes,Sector 3
8527419635,Yes,Sector 1
7410852963,Yes,Sector 3 
9638527410,No,Sector 1
9630852741,Yes,Sector 3
9876541233,No,Sector 1
7410852094,No,Sector 1
8523697412,Yes,Sector 2
9874560123,No,Sector 1
7412584125,No,Sector 1
9821452142,Yes,Sector 2
8542365245,Yes,Sector 3
8521525252,No,Sector 1
7415606515,Yes,Sector 3
3206516200,Yes,Sector 3
2151064416,Yes,Sector 3
5526614664,No,Sector 1
5168563041,Yes,Sector 3
6659304104,No,Sector 1
1181205405,No,Sector 1
2105696136,Yes,Sector 3
5108426545,Yes,Sector 3
6205454541,Yes,Sector 2
9462480415,No,Sector 1
4667956356,No,Sector 1
6520965206,Yes,Sector 3
3206352635,No,Sector 1
5320952642,Yes,Sector 2
6205412052,Yes,Sector 2
3065241515,Yes,Sector 3
6204165255,No,Sector 1
